csv_path,vehicle,fault_class,sensor,group_key,n_rows,n_chunks
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\NORMAL\0609\Current_U\22_06_09_12_26_53_01_zsplit001_Current_U_timeseries.csv,IONIQ,NORMAL,Current_U,22_06_09_12_26_53_01_zsplit001,10000,5
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\NORMAL\0609\Vib_Motor\22_06_09_12_26_53_01_zsplit001_Vib_Motor_timeseries.csv,IONIQ,NORMAL,Vib_Motor,22_06_09_12_26_53_01_zsplit001,10000,5
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\NORMAL\0609\Vib_TM\22_06_09_12_26_53_01_zsplit001_Vib_TM_timeseries.csv,IONIQ,NORMAL,Vib_TM,22_06_09_12_26_53_01_zsplit001,10000,5
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\ECC10\0707\Current_U\22_07_07_18_28_34_01_zsplit001_Current_U_timeseries.csv,IONIQ,ECC10,Current_U,22_07_07_18_28_34_01_zsplit001,10000,5
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\ECC10\0707\Vib_Motor\22_07_07_18_28_34_01_zsplit001_Vib_Motor_timeseries.csv,IONIQ,ECC10,Vib_Motor,22_07_07_18_28_34_01_zsplit001,10000,5
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\ECC10\0707\Vib_TM\22_07_07_18_28_34_01_zsplit001_Vib_TM_timeseries.csv,IONIQ,ECC10,Vib_TM,22_07_07_18_28_34_01_zsplit001,10000,5
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\ECC20\0825\Current_U\22_08_25_14_01_14_01_zsplit001_Current_U_timeseries.csv,IONIQ,ECC20,Current_U,22_08_25_14_01_14_01_zsplit001,2000,1
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\ECC20\0825\Current_U\22_08_25_14_01_14_01_zsplit002_Current_U_timeseries.csv,IONIQ,ECC20,Current_U,22_08_25_14_01_14_01_zsplit002,8000,4
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\ECC20\0825\Vib_Motor\22_08_25_14_01_14_01_zsplit001_Vib_Motor_timeseries.csv,IONIQ,ECC20,Vib_Motor,22_08_25_14_01_14_01_zsplit001,2000,1
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\ECC20\0825\Vib_Motor\22_08_25_14_01_14_01_zsplit002_Vib_Motor_timeseries.csv,IONIQ,ECC20,Vib_Motor,22_08_25_14_01_14_01_zsplit002,8000,4
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\ECC20\0825\Vib_TM\22_08_25_14_01_14_01_zsplit001_Vib_TM_timeseries.csv,IONIQ,ECC20,Vib_TM,22_08_25_14_01_14_01_zsplit001,2000,1
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\ECC20\0825\Vib_TM\22_08_25_14_01_14_01_zsplit002_Vib_TM_timeseries.csv,IONIQ,ECC20,Vib_TM,22_08_25_14_01_14_01_zsplit002,8000,4
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\DEMAG\0728\Current_U\22_07_28_12_15_20_01_zsplit005_Current_U_timeseries.csv,IONIQ,DEMAG,Current_U,22_07_28_12_15_20_01_zsplit005,10000,5
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\DEMAG\0728\Vib_Motor\22_07_28_12_15_20_01_zsplit005_Vib_Motor_timeseries.csv,IONIQ,DEMAG,Vib_Motor,22_07_28_12_15_20_01_zsplit005,10000,5
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\DEMAG\0728\Vib_TM\22_07_28_12_15_20_01_zsplit005_Vib_TM_timeseries.csv,IONIQ,DEMAG,Vib_TM,22_07_28_12_15_20_01_zsplit005,10000,5
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\REDUC\0922\Current_U\22_09_22_17_40_27_01_zsplit005_Current_U_timeseries.csv,IONIQ,REDUC,Current_U,22_09_22_17_40_27_01_zsplit005,4000,2
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\REDUC\0922\Current_U\22_09_22_17_40_27_01_zsplit007_Current_U_timeseries.csv,IONIQ,REDUC,Current_U,22_09_22_17_40_27_01_zsplit007,2000,1
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\REDUC\0922\Current_U\22_09_22_17_40_27_01_zsplit009_Current_U_timeseries.csv,IONIQ,REDUC,Current_U,22_09_22_17_40_27_01_zsplit009,2000,1
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\REDUC\0922\Current_U\22_09_22_17_40_27_01_zsplit010_Current_U_timeseries.csv,IONIQ,REDUC,Current_U,22_09_22_17_40_27_01_zsplit010,2000,1
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\REDUC\0922\Vib_Motor\22_09_22_17_40_27_01_zsplit005_Vib_Motor_timeseries.csv,IONIQ,REDUC,Vib_Motor,22_09_22_17_40_27_01_zsplit005,4000,2
C:\Users\kingm\OneDrive\문서\새 폴더\OneDrive\바탕 화면\학교\4학년 1학기\시스템분석\샘플데이터\03.합성데이터\1.모터_감속기_시계열\IONIQ\REDUC\0922\Vib_Motor\22_09_22_17_40_27_01_zsplit007_Vib_Motor_timeseries.csv,IONIQ,REDUC,Vib_Motor,22_09_22_17_40_27_01_zsplit007,2000,1
